TM source;Storage mnemonic;CGSE mnemonic;Original name in CGSE;Name of corresponding timestamp;Description;Unit
Configuration Manager;CM;CM_SITE_ID;CM_SITE_ID;timestamp;Site identifier (KUL/KUL1/KUL2);
Configuration Manager;CM;CM_SETUP_ID;CM_SETUP_ID;timestamp;Setup identifier;
Configuration Manager;CM;CM_TEST_ID;CM_TEST_ID;timestamp;Test identifier;
Configuration Manager;CM;CM_OBSID;CM_OBSID;timestamp;Observation identifier;
KIKUSUI PMX-A;PSU_HFGS;HFGS_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HFGS;HFGS_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HDET;HDET_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HDET;HDET_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HDEL;HDEL_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HDEL;HDEL_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HPCU;HPCU_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HPCU;HPCU_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HADC;HADC_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HADC;HADC_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HACT;HACT_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HACT;HACT_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HSAG;HSAG_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HSAG;HSAG_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HAV1;HAV1_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HAV1;HAV1_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HAV2;HAV2_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HAV2;HAV2_VOLTAGE;VOLTAGE;timestamp;Current;V
KIKUSUI PMX-A;PSU_HFSS;HFSS_CURRENT;CURRENT;timestamp;Current;Ohm
KIKUSUI PMX-A;PSU_HFSS;HFSS_VOLTAGE;VOLTAGE;timestamp;Current;V
